name,encoding
Aya,[0.1372285  0.00165548 0.00216243  0.04926577 0.04966071 0.066832  ]
Aya,[0.0352164  0.00498692 0.03238214  0.11517757 0.13483949 0.30367549]
Aya,[0.10833374 0.01783013 0.01314831  0.02073359 0.0373793  0.04363901]
Arwa,[0.39665028 0.39665028 0.21436074  0.00786533 0.32334039 0.32334039]
Arwa,[0.19177605 0.0166889  0.0208502  0.06038724 0.05689458 0.10796282]
Hanin,[0.29046862 0.02364951 0.0074061  0.02173454 0.03149156 0.00981346]
Hanin,[0.29374233 0.00576437 0.02552647  0.01079657 0.03388848 0.01248209]
Hanin,[0.29310124 0.33326151 0.02174686  0.2504402  0.2504402  0.24463957]
Menna,[0.03340574 0.00658583 0.01396594  0.02842153 0.02407388 0.09266114]
Menna,[0.04490586 0.00814852 0.01099338  0.08299044 0.13595773 0.08896389]
Menna,[0.09678956 0.05199329 0.11924631  0.20495862 0.24330026 0.1536115 ]
Menna,[0.21822736 0.13501372 0.28553796  0.12745914 0.24257877 0.24257877]
Mariam,[0.13368205 0.05703468 0.06509595  0.09759073 0.09926108 0.04641344]
Mariam,[0.31462698 0.31064996 0.10093956  0.01368691 0.08370953 0.05805281]
Mariam,[0.25387205 0.25387205 0.25387205  0.00852938 0.04134391 0.03659011]
Asmaa,[0.35454529 0.01163674 0.00479587  0.00877833 0.02930624 0.05794183]
Arwa ,[0.15304426 0.08945874 0.19668096  0.00715074 0.01030423 0.00880985]
Asmaa,[0.25169267 0.25169267 0.12269548  0.00899748 0.00379367 0.        ]
